Date,Open,High,Low,Close,Adj Close,Volume
2021-02-01,814.289978,842.000000,795.559998,839.809998,839.809998,25391400
2021-02-02,844.679993,880.500000,842.200012,872.789978,872.789978,24346200
2021-02-03,877.020020,878.080017,853.059998,854.690002,854.690002,18343500
2021-02-04,855.000000,856.500000,833.419983,849.989990,849.989990,15812700
2021-02-05,845.000000,864.770020,838.969971,852.229980,852.229980,18524800
2021-02-08,869.669983,877.770020,854.750000,863.419983,863.419983,20161700
2021-02-09,855.119995,859.799988,841.750000,849.460022,849.460022,15157700
2021-02-10,843.640015,844.820007,800.020020,804.820007,804.820007,36216100
2021-02-11,812.440002,829.880005,801.729980,811.659973,811.659973,21580700
2021-02-12,801.260010,817.330017,785.330017,816.119995,816.119995,23701700
2021-02-16,818.000000,821.000000,792.440002,796.219971,796.219971,19686700
2021-02-17,779.090027,799.840027,762.010010,798.150024,798.150024,25996500
2021-02-18,780.900024,794.690002,776.270020,787.380005,787.380005,17897000
2021-02-19,795.000000,796.789978,777.369995,781.299988,781.299988,18904800
2021-02-22,762.640015,768.500000,710.200012,714.500000,714.500000,37011700
